,1004961,1004962,1004963,1004964,1004965,1004966,1004967,1004968,1005105,1005107,1005109,1005111,1005112,1005113,1005114,1005115,1005116,1005117,1005118,1005119,1005128,1005129,1005130,1005131,1005132,1005133,1005134,1005135,1005136,1005137,1005138,1005139,1005144,1005145,1005146,1005147,1005148,1005149,1005197,1005198,1005199,1005200,1005201,1005631,1005632,1005633,1005634,1005656,1005657,1005658,1005659,1005660,1005661,1005662,1005663,1005784,1005785,1005786,1005787,1005788,1005789,1005790,1005791,1005792,1005793,1005794,1005795,1005796,1005797,1005798,1005799,1005800,1005801,1005945,1005946,1005947,1005948,1005949,1005950,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006407,1006408
进气形式,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,SOHC,DOHC,SOHC,DOHC,SOHC,DOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),136,201,136,201,136,201,136,201,201,201,201,201,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,177,177,177,177,177,177,177,177,177,177,177,177,177,143,143,143,143,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,177,177,177,177,177,177,136,116,136,116,136,116,136,116,136,116,136,116,136,116,136,116,116,116
最大功率(kW)_y,100,148,100,148,100,148,100,148,148,148,148,148,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,130,130,130,130,130,130,130,130,130,130,130,130,130,105,105,105,105,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,130,130,130,130,130,130,100,85,100,85,100,85,100,85,100,85,100,85,100,85,100,85,85,85
最大功率转速(rpm),5250,5500,5250,5500,5250,5500,5250,5500,5500,5500,5500,5500,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3200,3200,3200,3200,3200,3200,5250,3600,5250,3600,5250,3600,5250,3600,5250,3600,5250,3600,5250,3600,5250,3600,3600,3600
最大扭矩(N·m)_y,200,300,200,300,200,300,200,300,300,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,365,365,365,365,365,365,200,280,200,280,200,280,200,280,200,280,200,280,200,280,200,280,280,280
最大扭矩转速(rpm),2500-3500,1500-4500,2500-3500,1500-4500,2500-3500,1500-4500,2500-3500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1700-2200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,1600-3200,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,2500-3500,1600-2400,1600-2400,1600-2400
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油
燃油标号,92号,95号,92号,95号,92号,95号,92号,95号,95号,95号,95号,95号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,0号
供油方式,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
